1,삼성전자,"61,800","

				300
				
","

				+0.49%
				
",100,"3,689,326","5,969,783",50.15,"9,598,133",10.03,13.92,
2,LG에너지솔루션,"469,500","

				13,500
				
","

				+2.96%
				
",500,"1,098,630","234,000",5.14,"265,100",191.32,10.68,
3,SK하이닉스,"87,600","

				2,100
				
","

				+2.46%
				
","5,000","637,730","728,002",50.45,"2,345,262",6.88,16.84,
4,삼성바이오로직스,"800,000","

				1,000
				
","

				-0.12%
				
","2,500","569,392","71,174",10.69,"34,355",108.61,8.21,
5,삼성전자우,"55,900","

				400
				
","

				+0.72%
				
",100,"459,994","822,887",71.91,"765,431",9.07,N/A,
6,LG화학,"625,000","

				4,000
				
","

				+0.64%
				
","5,000","441,202","70,592",48.35,"134,046",21.99,18.47,
7,삼성SDI,"619,000","

				9,000
				
","

				+1.48%
				
","5,000","425,652","68,765",47.46,"151,778",25.38,8.45,
8,현대차,"164,500","

				500
				
","

				+0.30%
				
","5,000","351,484","213,668",29.08,"294,930",7.34,6.84,
9,NAVER,"196,000","
0
","
0.00%
",100,"321,536","164,049",48.46,"784,158",34.53,106.72,
10,카카오,"61,200","

				400
				
","

				+0.66%
				
",100,"272,599","445,424",26.52,"1,368,429",17.55,17.10,
11,POSCO홀딩스,"308,500","

				8,000
				
","

				+2.66%
				
","5,000","260,902","84,571",52.04,"277,875",5.05,13.97,
12,기아,"64,300","
0
","
0.00%
","5,000","260,649","405,363",35.98,"571,933",5.64,14.69,
13,KB금융,"57,000","

				200
				
","

				-0.35%
				
","5,000","233,071","408,897",73.95,"1,447,137",5.05,9.80,
14,셀트리온,"162,500","

				1,500
				
","

				-0.91%
				
","1,000","228,808","140,805",20.98,"239,502",40.04,16.04,
15,삼성물산,"119,500","

				500
				
","

				+0.42%
				
",100,"223,330","186,887",16.90,"235,630",12.63,5.40,
16,신한지주,"43,300","

				850
				
","

				+2.00%
				
","5,000","220,304","508,785",63.22,"1,381,799",4.83,8.80,
17,현대모비스,"209,500","

				1,500
				
","

				+0.72%
				
","5,000","197,527","94,285",35.58,"130,539",8.27,6.87,
18,LG전자,"96,300","
0
","
0.00%
","5,000","157,593","163,648",26.58,"389,877",11.01,6.32,
19,하나금융지주,"51,500","

				700
				
","

				+1.38%
				
","5,000","152,390","295,903",71.60,"751,556",4.16,10.86,
20,SK이노베이션,"156,500","

				2,000
				
","

				+1.29%
				
","5,000","144,709","92,466",26.31,"163,929",6.63,1.91,
21,SK,"194,000","

				1,000
				
","

				+0.52%
				
",200,"143,850","74,149",22.64,"63,343",4.20,10.19,
22,포스코케미칼,"184,500","
0
","
0.00%
",500,"142,920","77,463",7.51,"533,189",88.87,7.92,
23,삼성생명,"71,100","

				900
				
","

				-1.25%
				
",500,"142,200","200,000",14.21,"137,881",20.06,4.01,
24,카카오뱅크,"27,800","

				600
				
","

				+2.21%
				
","5,000","132,531","476,731",14.45,"1,284,200",55.38,4.91,
25,한국전력,"20,400","

				100
				
","

				+0.49%
				
","5,000","130,961","641,964",14.53,"663,388",-0.64,-7.99,
26,KT&G,"94,700","

				600
				
","

				+0.64%
				
","5,000","130,016","137,292",43.85,"228,502",11.19,10.74,
27,LG,"82,600","

				300
				
","

				+0.36%
				
","5,000","129,931","157,301",36.24,"98,592",6.02,12.36,
28,LG생활건강,"754,000","

				12,000
				
","

				-1.57%
				
","5,000","117,761","15,618",36.40,"66,738",27.69,16.65,
29,고려아연,"566,000","

				11,000
				
","

				+1.98%
				
","5,000","112,425","19,863",23.34,"28,103",14.79,11.07,
30,삼성전기,"148,000","

				4,000
				
","

				-2.63%
				
","5,000","110,547","74,694",30.08,"480,332",12.04,14.29,
31,HMM,"21,350","
0
","
0.00%
","5,000","104,410","489,039",10.46,"1,053,014",0.91,88.62,
